"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TRAVIS.HAMONIC","2013-2014","NYI","D",69,205.73,0,0,0,0,0,0,1.7,0.5,53,356,-303,12.96,-4.18,6,29,-23,17.14,13.14,4.27,25.64,-21.37,14.28,-7.88,1,2,1,4,1.17,0.14,0.04,0,99.92,5.94,56.73,34.48,18.85,48.33,87.93
"TRAVIS.HAMONIC","2014-2015","NYI","D",71,130.63,0,0,0,0,0,0,1.25,0.57,40,228,-188,14.93,-2.06,4,19,-15,17.39,-0.26,2.84,17.54,-14.7,13.94,-1.83,1,0,-1,5,2.3,0.19,0.09,0,95.98,9.76,45.07,36.43,13.75,46.76,87.51
"TRAVIS.HAMONIC","2015-2016","NYI","D",72,161.84,0,0,0,0,0,0,1.64,0.61,34,267,-233,11.3,-6.35,0,17,-17,0,-25,2.41,18.32,-15.91,11.63,-9.38,0,2,2,5,1.85,0.08,0.03,0,87.12,6.99,50.95,40.71,17.09,47.27,88.89
"TRAVIS.HAMONIC","2016-2017","NYI","D",49,109.65,0,1,1,1,0.55,0.55,1.9,1.04,12,218,-206,5.22,-5.89,1,11,-10,8.33,1.19,0.38,13.75,-13.37,2.69,-10.74,0,0,0,3,1.64,0.05,0.03,0,104.8,2.91,44.49,30.29,11.31,47.91,88.36
"TRAVIS.KONECNY","2016-2017","PHI","C",70,1.03,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,0.29,31.94,17.42,38.49,88.39
"TRAVIS.MOEN","2013-2014","MTL","L",64,165.97,0,1,1,1,0.36,0.36,2.75,0.99,35,305,-270,10.29,-5.35,2,19,-17,9.52,-12.7,3.9,19.88,-15.98,16.4,1.43,1,2,1,13,4.7,2.18,0.79,0,97.34,2.86,43.52,44.33,15.64,48.75,87.98
"TRAVIS.MOEN","2014-2015","MTL/DAL","L",44,32.61,0,0,0,0,0,0,0.19,0.35,1,51,-50,1.92,-12.56,0,0,0,NA,NA,0,3.49,-3.49,0,-13.92,0,0,0,0,0,0,0,NA,NA,0,13.14,42.89,11.17,46.76,87.77
"TRAVIS.MOEN","2015-2016","DAL","L",23,9.25,0,1,1,1,6.49,6.49,0.8,5.19,1,20,-19,4.76,-4.81,1,2,-1,33.33,33.33,0.22,1.24,-1.02,15.07,8.42,0,0,0,0,0,0,0,NA,180,0,8.74,37.05,11.82,41.25,87.24
"TRAVIS.MORIN","2013-2014","DAL","C",4,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TRAVIS.MORIN","2014-2015","DAL","C",6,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TRAVIS.ZAJAC","2013-2014","N.J","C",80,157.05,0,0,0,0,0,0,0.78,0.3,18,240,-222,6.98,-7.84,0,15,-15,0,-29.17,1.48,17.39,-15.91,7.84,-6.83,1,2,1,8,3.06,0.66,0.25,0,89.21,3.78,35.21,47.93,13.67,47.02,88.01
"TRAVIS.ZAJAC","2014-2015","N.J","C",74,134.26,2,0,2,2,0.89,0.89,2.05,0.92,31,201,-170,13.36,5.44,2,15,-13,11.76,1.24,1.65,12.97,-11.32,11.29,1.65,0,0,0,7,3.13,0.69,0.31,50,97.84,4.93,32.15,46.25,7.83,47.43,87.91
